iter	Passed	Remaining
0	5	5683
1	8	4377
2	10	3381
3	11	2867
4	12	2405
5	12	2084
6	12	1831
7	13	1650
8	13	1539
9	14	1449
10	15	1380
11	16	1318
12	19	1486
13	20	1421
14	20	1368
15	21	1321
16	22	1291
17	22	1253
18	23	1205
19	23	1158
20	24	1125
21	24	1101
22	25	1063
23	25	1042
24	26	1024
25	26	1006
26	27	989
27	28	974
28	28	961
29	29	961
30	31	973
31	31	959
32	32	940
33	32	922
34	32	903
35	33	892
36	33	881
37	34	870
38	34	862
39	35	851
40	35	839
41	36	834
42	37	833
43	37	819
44	38	811
45	38	805
46	39	799
47	39	789
48	40	785
49	41	779
50	41	771
51	41	765
52	42	757
53	43	753
54	43	745
55	43	736
56	44	728
57	44	720
58	44	713
59	45	706
60	45	698
61	45	691
62	46	684
63	46	677
64	46	671
65	50	717
66	51	716
67	52	714
68	52	714
69	53	710
70	54	708
71	54	703
72	54	697
73	55	692
74	55	686
75	56	681
76	56	675
77	56	670
78	57	664
79	57	660
80	58	658
81	58	656
82	59	655
83	59	653
84	62	675
85	63	677
86	64	673
87	64	672
88	65	667
89	65	662
90	66	665
91	67	663
92	68	666
93	68	664
94	69	663
95	70	661
96	70	660
97	71	658
98	72	657
99	72	655
100	73	654
101	74	652
102	76	665
103	76	661
104	77	657
105	77	653
106	79	660
107	79	660
108	81	662
109	81	661
110	82	659
111	82	658
112	83	656
113	84	655
114	84	653
115	85	651
116	86	650
117	86	648
118	87	647
119	88	645
120	88	643
121	89	642
122	89	641
123	90	639
124	91	640
125	92	639
126	92	638
127	93	637
128	94	636
129	94	635
130	95	634
131	96	632
132	96	631
133	97	630
134	99	636
135	100	636
136	100	634
137	101	632
138	102	632
139	102	629
140	102	626
141	103	623
142	103	620
143	104	622
144	105	619
145	105	616
146	105	613
147	106	610
148	106	607
149	106	605
150	107	602
151	107	599
152	107	596
153	108	594
154	108	591
155	108	589
156	109	586
157	109	583
158	109	581
159	110	578
160	110	575
161	110	573
162	111	571
163	111	568
164	111	566
165	112	564
166	112	561
167	112	559
168	113	556
169	113	554
170	114	553
171	114	550
172	114	549
173	115	546
174	115	544
175	115	542
176	116	539
177	116	538
178	116	535
179	117	533
180	117	531
181	117	529
182	118	527
183	118	525
184	118	522
185	119	520
186	119	519
187	119	517
188	120	515
189	120	513
190	120	511
191	121	509
192	121	507
193	121	505
194	122	504
195	122	502
196	122	500
197	123	498
198	123	496
199	123	495
200	124	493
201	124	491
202	124	489
203	125	488
204	125	486
205	125	484
206	126	482
207	126	481
208	126	479
209	127	477
210	127	476
211	127	474
212	127	472
213	128	471
214	128	469
215	128	468
216	129	466
217	129	465
218	129	463
219	130	461
220	130	460
221	130	458
222	131	457
223	131	455
224	131	453
225	132	452
226	132	450
227	132	449
228	132	447
229	133	446
230	133	444
231	133	443
232	134	441
233	134	440
234	134	438
235	135	437
236	135	435
237	135	434
238	136	433
239	136	431
240	136	430
241	136	429
242	137	427
243	137	426
244	137	424
245	138	423
246	138	422
247	138	420
248	139	419
249	139	418
250	139	416
251	140	415
252	140	414
253	140	413
254	141	412
255	141	410
256	141	409
257	142	408
258	142	407
259	142	405
260	142	404
261	143	403
262	143	402
263	143	400
264	144	399
265	144	398
266	144	397
267	145	396
268	145	395
269	145	393
270	146	392
271	146	391
272	146	390
273	146	389
274	147	388
275	147	387
276	147	385
277	148	384
278	148	383
279	148	382
280	149	381
281	149	380
282	149	379
283	150	378
284	150	377
285	150	376
286	150	375
287	151	374
288	151	372
289	151	372
290	152	370
291	152	369
292	152	368
293	153	367
294	153	366
295	154	367
296	154	366
297	155	365
298	155	364
299	155	363
300	156	362
301	156	361
302	156	360
303	157	359
304	157	358
305	157	357
306	157	356
307	158	355
308	158	354
309	159	354
310	159	353
311	159	352
